"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Sikko Industries Limited","71.44","28.56","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174554_769745_17012023045143_WEB.xml"
"Prajay Engineers Syndicate Limited","32.87","67.13","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174555_769765_17012023045559_WEB.xml"
"Prince Pipes And Fittings Limited","62.94","37.06","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174432_768762_17012023114604_WEB.xml"
"Man Industries (India) Limited","45.69","54.31","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174433_768785_17012023115326_WEB.xml"
"Jai Corp Limited","73.01","26.99","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174434_768787_17012023115348_WEB.xml"
"Visa Steel Limited","43.33","56.67","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174435_768797_17012023115626_WEB.xml"
"Lokesh Machines Limited","53.05","46.95","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174436_768805_17012023120012_WEB.xml"
"Universal Cables Limited","61.89","38.11","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174437_768807_17012023120028_WEB.xml"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174438_768811_17012023120310_WEB.xml"
"Antony Waste Handling Cell Limited","46.23","53.77","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174439_768815_17012023120346_WEB.xml"
"Maral Overseas Limited","74.95","25.05","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174440_768817_17012023120434_WEB.xml"
"Jubilant Foodworks Limited","41.94","57.88","0.18","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174441_768819_17012023120521_WEB.xml"
"Central Bank of India","93.08","6.92","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174442_768823_17012023120806_WEB.xml"
"Compucom Software Limited","71.19","28.81","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174643_770675_18012023115158_WEB.xml"
"GATI Limited","53.12","46.88","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174644_770679_18012023115235_WEB.xml"
"The State Trading Corporation of India Limited","90","10","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173810_761866_11012023022330_WEB.xml"
"NIIT Limited","34.86","65.14","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173811_761870_11012023022616_WEB.xml"
"Bannari Amman Spinning Mills Limited","55.33","44.67","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173812_761874_11012023023047_WEB.xml"
"Greaves Cotton Limited","55.54","44.46","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173813_761876_11012023023243_WEB.xml"
"Harrisons  Malayalam Limited","54.12","45.88","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173814_761878_11012023023258_WEB.xml"
"IOL Chemicals and Pharmaceuticals Limited","43.69","56.31","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173871_762539_11012023051136_WEB.xml"
"Prozone Intu Properties Limited","26.74","73.26","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173872_762557_11012023051359_WEB.xml"
"Apcotex Industries Limited","58.23","41.77","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173874_762573_11012023051849_WEB.xml"
"ARSS Infrastructure Projects Limited","46.7","53.3","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173875_762591_11012023052533_WEB.xml"
"Bharat Gears Limited","55.32","44.68","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173876_762600_11012023052737_WEB.xml"
"Hitachi Energy India Limited","75","25","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173877_762610_11012023052904_WEB.xml"
"Fedders Electric and Engineering Limited","100","0","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173878_762644_11012023053935_WEB.xml"
"Sanginita Chemicals Limited","62.47","37.53","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173879_762647_11012023054003_WEB.xml"
"Newgen Software Technologies Limited","55.16","44.4","0.45","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174047_764437_12012023055510_WEB.xml"
"Anik Industries Limited","37.81","62.19","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174048_764443_12012023055718_WEB.xml"
"Bang Overseas Limited","72.29","27.71","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175094_773976_19012023065931_WEB.xml"
"Welspun Enterprises Limited","53.76","46.24","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175095_773978_19012023065959_WEB.xml"
"Lypsa Gems & Jewellery Limited","36.37","63.63","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175096_773981_19012023070210_WEB.xml"
"Websol Energy System Limited","26.76","73.24","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175097_773988_19012023070430_WEB.xml"
"Gujarat Raffia Industries Limited","39.55","60.45","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175098_773990_19012023070531_WEB.xml"
"Dhanuka Agritech Limited","70","30","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175099_773996_19012023070628_WEB.xml"
"Jubilant Pharmova Limited","50.68","49.19","0.13","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175100_774003_19012023070827_WEB.xml"
"S.A.L. Steel Limited","50.56","49.44","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175119_774169_19012023095143_WEB.xml"
"Amrutanjan Health Care Limited","50.02","49.8","0.18","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175125_774216_20012023094942_WEB.xml"
"ISMT Limited","74.95","25.05","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175142_774289_20012023111032_WEB.xml"
"Apollo Sindoori Hotels Limited","64.68","35.32","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173830_762008_11012023031138_WEB.xml"
"Shekhawati Poly-Yarn Limited","57.49","42.51","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174081_764932_13012023114548_WEB.xml"
"Sundaram Finance Limited","38.49","60.69","0.82","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173832_762060_11012023032130_WEB.xml"
"Kitex Garments Limited","56.66","43.34","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173833_762092_11012023033018_WEB.xml"
"VIP Industries Limited","51.32","48.68","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173834_762094_11012023033056_WEB.xml"
"The Anup Engineering Limited","42.98","57.02","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173835_762100_11012023033421_WEB.xml"
"Inventure Growth & Securities Limited","26.4","73.6","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173836_762108_11012023033558_WEB.xml"
"TTK Prestige Limited","70.41","29.59","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173838_762116_11012023033826_WEB.xml"
"Mahalaxmi Rubtech Limited","66.68","33.32","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174082_764935_13012023114757_WEB.xml"
"Bharat Rasayan Limited","74.99","25.01","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174083_764945_13012023115241_WEB.xml"
"Gujarat Pipavav Port Limited","44.01","55.99","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174084_764949_13012023115424_WEB.xml"
"Associated Alcohols & Breweries Ltd.","58.45","41.55","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174085_764957_13012023115720_WEB.xml"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174086_764964_13012023120035_WEB.xml"
"Abhishek Corporation Limited","57.63","42.37","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174087_764966_13012023120227_WEB.xml"
"Superhouse Limited","54.88","45.12","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174645_770681_18012023115325_WEB.xml"
"Ujaas Energy Limited","0.01","99.99","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174646_770683_18012023115402_WEB.xml"
"Jayaswal Neco Industries Limited","48.03","51.97","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174647_770700_18012023115709_WEB.xml"
"Spacenet Enterprises India Limited","16.61","83.39","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174648_770722_18012023120958_WEB.xml"
"Cyber Media Research & Services Limited","41.66","58.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174715_771290_18012023034024_WEB.xml"
"IDFC Limited","0","100","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174738_771452_18012023041140_WEB.xml"
"Alphageo (India) Limited","46.09","53.91","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174740_771454_18012023041211_WEB.xml"
"Walchandnagar Industries Limited","34.94","65.06","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174741_771471_18012023041540_WEB.xml"
"Magnum Ventures Limited","53.24","46.76","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174742_771491_18012023042108_WEB.xml"
"Allcargo Logistics Limited","69.92","30.08","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174743_771508_18012023042542_WEB.xml"
"IRB Infrastructure Developers Limited","34.2","65.8","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174744_771519_18012023042832_WEB.xml"
"Responsive Industries Limited","58.94","41.06","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173650_760147_10012023011118_WEB.xml"
"Tarapur Transformers Limited","44.63","55.37","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173651_760154_10012023011454_WEB.xml"
"KNR Constructions Limited","51.09","48.91","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173652_760156_10012023011504_WEB.xml"
"JMC Projects (India)  Limited","67.75","32.25","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173653_760172_10012023012409_WEB.xml"
"SKF India Limited","52.58","47.42","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173904_762977_12012023090412_WEB.xml"
"Orient Electric Limited","38.42","61.58","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174287_767130_16012023104457_WEB.xml"
"Aarey Drugs & Pharmaceuticals Limited","50.03","49.97","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174288_767156_16012023110534_WEB.xml"
"Shyam Metalics and Energy Limited","88.35","11.65","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/-"
"DCB Bank Limited","14.85","85.15","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174291_767192_16012023113857_WEB.xml"
"Debock Industries Limited","36.66","63.33","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174299_767262_16012023122015_WEB.xml"
"Marksans Pharma Limited","49","51","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174300_767286_16012023122723_WEB.xml"
"Spandana Sphoorty Financial Limited","63.01","36.99","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174301_767291_16012023122843_WEB.xml"
"GRP Limited","41.26","58.74","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174302_767299_16012023123112_WEB.xml"
"Banka BioLoo Limited","55.19","44.81","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175143_774296_20012023111152_WEB.xml"
"GNA Axles Limited","68.08","31.92","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175144_774307_20012023112022_WEB.xml"
"Jagsonpal Pharmaceuticals Limited","68.71","31.29","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175145_774324_20012023112711_WEB.xml"
"Hindprakash Industries Limited","74.85","25.15","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175147_774327_20012023112756_WEB.xml"
"Elecon Engineering Company Limited","59.29","40.71","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175148_774337_20012023113004_WEB.xml"
"Trident Limited","72.94","25.3","1.76","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175149_774339_20012023113006_WEB.xml"
"Visagar Polytex Limited","5.63","94.37","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175151_774357_20012023113418_WEB.xml"
"Bhartiya International Limited","57.36","42.64","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175229_774909_20012023024139_WEB.xml"
"Umang Dairies Limited","74.61","25.39","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175232_774927_20012023024816_WEB.xml"
"Bharatiya Global Infomedia Limited","48.46","51.55","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175233_774929_20012023024828_WEB.xml"
"Sumeet Industries Limited","21.67","78.33","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175234_774938_20012023025216_WEB.xml"
"Avanti Feeds Limited","43.28","56.72","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175235_774941_20012023025343_WEB.xml"
"Ester Industries Limited","64.04","35.96","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175236_774943_20012023025424_WEB.xml"
"Goyal Aluminiums Limited","71.03","28.97","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173590_759097_09012023045122_WEB.xml"
"Cubex Tubings Limited","44.42","55.58","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173591_759099_09012023045224_WEB.xml"
"Som Distilleries & Breweries Limited","32.72","67.28","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173593_759124_09012023045805_WEB.xml"
"Cantabil Retail India Limited","74.97","25.03","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173594_759126_09012023045840_WEB.xml"
"Thangamayil Jewellery Limited","66.66","33.34","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173595_759144_09012023050345_WEB.xml"
"Himadri Speciality Chemical Limited","45.38","54.62","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173597_759152_09012023050605_WEB.xml"
"Arman Financial Services Limited","27.35","72.65","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173598_759158_09012023050730_WEB.xml"
"Ratnamani Metals & Tubes Limited","60.1","39.9","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173599_759165_09012023050945_WEB.xml"
"Uniinfo Telecom Services Limited","50.91","49.09","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173808_761835_11012023020234_WEB.xml"
"Goa Carbon Limited","59.72","40.28","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173809_761841_11012023020828_WEB.xml"
"Ambika Cotton Mills Limited","50.17","49.83","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174088_764972_13012023120516_WEB.xml"
"Welspun Corp Limited","49.9","50.1","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174490_769206_17012023024101_WEB.xml"
"Sreeleathers Limited","75","25","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174491_769208_17012023024209_WEB.xml"
"Gravita India Limited","73","25","2","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174493_769210_17012023024506_WEB.xml"
"Clean Science and Technology Limited","78.5","21.5","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174745_771528_18012023042928_WEB.xml"
"The Great Eastern Shipping Company Limited","30.07","69.93","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174746_771530_18012023043005_WEB.xml"
"Ravinder Heights Limited","74.81","25.19","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174747_771547_18012023043355_WEB.xml"
"Wockhardt Limited","60.36","39.64","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174748_771549_18012023043402_WEB.xml"
"JB Chemicals & Pharmaceuticals Limited","53.95","46.05","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174749_771558_18012023044010_WEB.xml"
"Sirca Paints India Limited","67.55","32.45","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174861_772353_18012023104635_WEB.xml"
"Iris Business Services Limited","37.92","62.08","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174862_772370_19012023080715_WEB.xml"
"Shree Digvijay Cement Co.Ltd","56.01","43.99","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174864_772376_19012023092912_WEB.xml"
"Everest Industries Limited","50.44","49.56","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174868_772394_19012023101616_WEB.xml"
"South West Pinnacle Exploration Limited","74.68","25.32","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174869_772396_19012023101857_WEB.xml"
"Procter & Gamble Health Limited","51.82","48.18","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174870_772398_19012023102350_WEB.xml"
